SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
WADD17-SO-03	COI	SRR7969401	SAMN10182024	PRJNA494857
WADD17-UN-01	COI	SRR7969398	SAMN10182025	PRJNA494857
WADD17-UN-02	COI	SRR7969399	SAMN10182026	PRJNA494857
WADD17-UN-03	COI	SRR7969396	SAMN10182027	PRJNA494857
WADD3-L-01	COI	SRR7969397	SAMN10182028	PRJNA494857
WADD3-L-02	COI	SRR7969404	SAMN10182029	PRJNA494857
WADD3-L-03	COI	SRR7969405	SAMN10182030	PRJNA494857
WADD3-M-01	COI	SRR7969527	SAMN10182031	PRJNA494857
WADD3-M-02	COI	SRR7969495	SAMN10182032	PRJNA494857
WADD3-M-03	COI	SRR7969498	SAMN10182033	PRJNA494857
WADD3-S-01	COI	SRR7969497	SAMN10182034	PRJNA494857
WADD3-S-02	COI	SRR7969492	SAMN10182035	PRJNA494857
WADD3-S-03	COI	SRR7969491	SAMN10182036	PRJNA494857
WADD3-SO-01	COI	SRR7969494	SAMN10182037	PRJNA494857
WADD3-SO-02	COI	SRR7969493	SAMN10182038	PRJNA494857
WADD3-SO-03	COI	SRR7969504	SAMN10182039	PRJNA494857
WADD3-UN-01	COI	SRR7969528	SAMN10182040	PRJNA494857
WADD3-UN-02	COI	SRR7969620	SAMN10182041	PRJNA494857
WADD3-UN-03	COI	SRR7969621	SAMN10182042	PRJNA494857
WHALL-L-01	COI	SRR7969406	SAMN10182043	PRJNA494857
WHALL-L-02	COI	SRR7969623	SAMN10182044	PRJNA494857
WHALL-L-03	COI	SRR7969624	SAMN10182045	PRJNA494857
WHALL-M-01	COI	SRR7969625	SAMN10182046	PRJNA494857
WHALL-M-02	COI	SRR7969626	SAMN10182047	PRJNA494857
WHALL-M-03	COI	SRR7969627	SAMN10182048	PRJNA494857
WHALL-S-01	COI	SRR7969628	SAMN10182049	PRJNA494857
WHALL-S-02	COI	SRR7969647	SAMN10182050	PRJNA494857
WHALL-S-03	COI	SRR7969749	SAMN10182051	PRJNA494857
WHALL-SO-01	COI	SRR7969748	SAMN10182052	PRJNA494857
WHALL-SO-02	COI	SRR7969747	SAMN10182053	PRJNA494857
WHALL-SO-03	COI	SRR7969746	SAMN10182054	PRJNA494857
WHALL-UN-01	COI	SRR7969745	SAMN10182055	PRJNA494857
WHALL-UN-02	COI	SRR7969744	SAMN10182056	PRJNA494857
WHALL-UN-03	COI	SRR7969743	SAMN10182057	PRJNA494857
WOOD-L-01	COI	SRR7969742	SAMN10182058	PRJNA494857
WOOD-L-02	COI	SRR7969741	SAMN10182059	PRJNA494857
WOOD-L-03	COI	SRR7969740	SAMN10182060	PRJNA494857
WOOD-M-01	COI	SRR7969475	SAMN10182061	PRJNA494857
WOOD-M-02	COI	SRR7969476	SAMN10182062	PRJNA494857
WOOD-M-03	COI	SRR7969473	SAMN10182063	PRJNA494857
WOOD-SO-01	COI	SRR7969474	SAMN10182064	PRJNA494857
WOOD-SO-02	COI	SRR7969479	SAMN10182065	PRJNA494857
WOOD-SO-03	COI	SRR7969480	SAMN10182066	PRJNA494857
WOOD-UN-01	COI	SRR7969477	SAMN10182067	PRJNA494857
WOOD-UN-02	COI	SRR7969478	SAMN10182068	PRJNA494857
WOOD-UN-03	COI	SRR7969471	SAMN10182069	PRJNA494857
WRONG-L-01	COI	SRR7969472	SAMN10182070	PRJNA494857
WRONG-L-02	COI	SRR7969583	SAMN10182071	PRJNA494857
WRONG-L-03	COI	SRR7969582	SAMN10182072	PRJNA494857
WRONG-M-01	COI	SRR7969585	SAMN10182073	PRJNA494857
WRONG-M-02	COI	SRR7969584	SAMN10182074	PRJNA494857
WRONG-M-03	COI	SRR7969587	SAMN10182075	PRJNA494857
WRONG-S-01	COI	SRR7969586	SAMN10182076	PRJNA494857
WRONG-S-02	COI	SRR7969589	SAMN10182077	PRJNA494857
WRONG-S-03	COI	SRR7969588	SAMN10182078	PRJNA494857
WRONG-SO-01	COI	SRR7969581	SAMN10182079	PRJNA494857
WRONG-SO-02	COI	SRR7969580	SAMN10182080	PRJNA494857
WRONG-SO-03	COI	SRR7969678	SAMN10182081	PRJNA494857
WRONG-UN-01	COI	SRR7969679	SAMN10182082	PRJNA494857
WRONG-UN-02	COI	SRR7969429	SAMN10182083	PRJNA494857
WRONG-UN-03	COI	SRR7969430	SAMN10182084	PRJNA494857
CAKE-01	COI	SRR7985943	SAMN10187732	PRJNA494857
CAKE-02	COI	SRR7985942	SAMN10187733	PRJNA494857
CAKE-03	COI	SRR7985945	SAMN10187734	PRJNA494857
