sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
WADD10-UN-01,108932,28632,6092,22540,6086,0.97,287,3,114,24806
WADD10-UN-02,152708,41658,9792,31866,9780,0.97,311,3,136,35830
WADD10-UN-03,125388,35918,9670,26248,9664,0.97,254,3,108,30170
WADD11-L-01,64598,14381,294,14087,294,0.97,103,3,34,14003
WADD11-L-02,139102,43320,14864,28456,14864,0.97,177,3,84,34577
WADD11-L-03,112334,29317,6336,22981,6336,0.97,135,3,50,25518
WADD11-M-01,80312,17259,374,16885,374,0.97,123,3,50,16919
WADD11-M-02,9982,2482,190,2292,188,0.97,47,3,14,2330
WADD11-M-03,91566,22665,4850,17815,4850,0.97,162,3,47,19702
WADD11-S-01,84972,21581,5064,16517,5064,0.97,258,3,85,18492
WADD11-S-02,164918,49004,9906,39098,9904,0.97,332,3,140,43335
WADD11-S-03,107148,27541,7964,19577,7964,0.97,245,3,92,22527
WADD11-SO-01,77620,24024,6486,17538,6486,0.97,276,3,113,20230
WADD11-SO-02,131202,41116,10122,30994,10122,0.97,390,3,152,35315
WADD11-SO-03,126854,40334,11786,28548,11786,0.97,384,3,144,33542
WADD11-UN-01,94892,29967,8112,21855,8112,0.97,297,3,106,25180
WADD11-UN-02,143272,42830,8716,34114,8716,0.97,340,3,126,37719
WADD11-UN-03,145930,47130,13458,33672,13456,0.97,360,3,135,39366
WADD17-L-01,68478,17277,2400,14877,2400,0.97,159,3,58,15670
WADD17-L-02,141172,42504,13756,28748,13754,0.97,223,3,88,34289
WADD17-L-03,74976,15859,256,15603,256,0.97,158,3,64,15487
WADD17-M-01,52328,10249,1774,8475,1774,0.97,91,3,36,9025
WADD17-M-02,130082,36967,7990,28977,7988,0.97,172,3,65,32303
WADD17-M-03,74522,16382,4298,12084,4298,0.97,103,3,49,13509
WADD17-S-01,79144,17146,3050,14096,3050,0.97,173,3,83,15201
WADD17-S-02,106010,27659,3752,23907,3748,0.97,139,3,74,25486
WADD17-S-03,79872,16321,3996,12325,3996,0.97,110,3,59,13561
WADD17-SO-01,71454,20777,5526,15251,5524,0.97,206,3,88,17442
WADD17-SO-02,127048,38087,8542,29545,8538,0.97,239,3,112,33183
WADD17-SO-03,109920,31438,8600,22838,8598,0.97,246,3,102,26323
WADD17-UN-01,103744,31771,8694,23077,8694,0.97,233,3,95,26664
WADD17-UN-02,124584,36532,8424,28108,8424,0.97,248,3,109,31630
WADD17-UN-03,93874,28469,8244,20225,8242,0.97,221,3,95,23671
WADD3-L-01,73038,24228,6970,17258,6960,0.97,91,3,67,20343
WADD3-L-02,102396,32194,10420,21774,10420,0.97,87,3,63,26235
